name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
Antwon Blake,00-0029050,no,PIT,CB,11,1,2,1,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Robert Blanton,00-0029575,no,MIN,SS,4,0,0,0,23,,,,,,,,,,,,,,,27,27,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

LeGarrette Blount,00-0027325,no,NE,RB,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,11,6,1,0,0,43,165,202,45,6,0,0,703

Alfred Blue,00-0031075,no,HOU,RB,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,21,15,1,0,0,109,183,156,28,2,0,0,698

Russell Bodine,00-0031306,no,CIN,C,,,,,,0,0,2,0,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Tommy Bohanon,00-0030112,no,NYJ,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,4,0,0,0,56,2,2,0,0,0,0,2

Brandon Bolden,00-0029239,no,NE,RB,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,81,19,2,0,0,180,63,88,0,0,0,0,207

Omar Bolden,00-0029563,no,DEN,SS,1,0,0,0,1,0,1,1,1,0,,,,,,,,,,151,183,0,15,0,,,,,,,,,,,,,119,123,83,5,1,,,,,,,,,,,,,,

Anquan Boldin,00-0022084,no,SF,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,65,69,4,1,0,789,,,,,,,

Blake Bortles,00-0031407,no,JAC,QB,,,,,,5,5,14,5,-30,,,,,,,,,,,,,,,606,355,18,35,5,1,4428,,,,,,,,,,,,,,,,,,52,172,2,2,0,0,310

Matt Bosher,00-0028130,no,ATL,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597,24,818,58,2735,,,,,,,,,,,,,,,,,,,

Jon Bostic,00-0030064,yes,NE,OLB,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

